Cancer_Type_Detailed	Manually_corrected_Cancer_Type_Detailed	value	Why
"Rhabdomyosarcoma, Alveolar subtype"	Alveolar Rhabdomyosarcoma	3	string in OT to match
Mixed Carcinoma	Mixed Cancer Types	3	string in OT to match
Esophageal Neuroendocrine Tumor	Esophageal	3	Location is ultimately esophagus
Intraductal Papillary Mucinous Neoplasm with an associated Invasive Carcinoma	Intraductal Papillary Mucinous Neoplasm	3	string in OT to match
Extrarenal Rhabdoid Tumor	Extrarenal Rhabdoid Tumor	3	either 1 alone come under multiple parents so skip
Diffse large B-cell lymphoma	Diffuse Large B-Cell Lymphoma	2	string in OT to match
Follicular Thyroid Carcinoma	Follicular Thyroid	2	string in OT to match
Breast Microinvasive Carcinoma	Invasive Breast Carcinoma	2	string in OT to match
Optic nerve glioma	"Glioma,"	2	string in OT to match
Anaplastic ependymoma	Anaplastic Ependymoma	2	Capitalized 1st alphabets
Anaplastic pleomorphic xanthoastrocytoma	Anaplastic Pleomorphic Xanthoastrocytoma	1	Capitalized 1st alphabets
Non-seminomatous Mixed Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor	1	string in OT to match
Pilomatrix carcinoma	Pilomatrix carcinoma	1	cannot find a match so skip only 1 var in APC will be lost
Seminal Vesicle Carcinoma	Seminal Vesicle Carcinoma	1	cannot find a match so skip only 1 var in TP53 will be lost
Anaplastic medulloblastoma	Anaplastic Medulloblastoma	1	Capitalized 1st alphabets
Mucoepidermoid carcinoma of the lung	Mucoepidermoid Carcinoma of the Lung	1	Capitalized 1st alphabets to match string in OT
Pineal Germ Cell Tumor	Pineal 	1	Location is ultimately CNS/Brain
Infiltrating Tubular Carcinoma	Infiltrating Tubular Carcinoma	1	cannot find a match so skip not in 41 genes
Small round blue cell tumor/ Ewing Sarcoma	Small round blue cell tumor/ Ewing Sarcoma	1	cannot find a match so skip not in 41 genes
Plexiform fibrohistiocytic tumor	Plexiform fibrohistiocytic tumor	1	cannot find a match so skip not in 41 genes
Pleuropulmonary blastoma	Pleuropulmonary Blastoma	1	Capitalized 1st alphabets
